,randomforestpred,xgboost_pred,x_domain,indicator
0,42206262.27893488,44803740.0,7.4e-05,popularity
1,42171174.4269828,43472772.0,0.001207,popularity
2,42112783.311414644,43472772.0,0.002152,popularity
3,42112783.311414644,43472772.0,0.002361,popularity
4,42112783.311414644,43472772.0,0.0023899999999999998,popularity
5,42084330.938666835,43443310.0,0.004195,popularity
6,42079843.381589554,43443310.0,0.00972,popularity
7,42079836.84763423,43443310.0,0.016219,popularity
8,42079836.84763423,43443310.0,0.017501,popularity
9,42071316.8079862,43443310.0,0.02158,popularity
10,42071316.8079862,43443310.0,0.022347,popularity
11,42068583.239097305,43422252.0,0.028988,popularity
12,42069428.02080883,43422252.0,0.037259,popularity
13,42069418.81483781,43422252.0,0.038843,popularity
14,42069418.81483781,43422252.0,0.038903,popularity
15,42069418.81483781,43422252.0,0.039977,popularity
16,42072625.295161486,43422252.0,0.04048,popularity
17,42072625.295161486,43422252.0,0.041677,popularity
18,42072625.295161486,43422252.0,0.041825,popularity
19,42071737.12217557,43422252.0,0.044561,popularity
20,42071737.12217557,43422252.0,0.045860000000000005,popularity
21,42061000.0264528,43422252.0,0.050625,popularity
22,42059785.93524305,43422252.0,0.053496,popularity
23,42058817.2140643,43422252.0,0.063442,popularity
24,42058633.13677953,43422252.0,0.064795,popularity
25,42042827.11127228,43422252.0,0.0658,popularity
26,42042392.491735175,43422252.0,0.06928,popularity
27,42042392.491735175,43422252.0,0.074111,popularity
28,42041274.670399,43422252.0,0.078652,popularity
29,42041274.670399,43422252.0,0.079669,popularity
30,42041401.55481784,43422252.0,0.083143,popularity
31,42041401.55481784,43422252.0,0.08482,popularity
32,42041401.55481784,43422252.0,0.08866900000000001,popularity
33,42041401.55481784,43422252.0,0.088779,popularity
34,42041151.35822868,43422252.0,0.090048,popularity
35,42040454.781352684,43422252.0,0.098412,popularity
36,42040454.781352684,43422252.0,0.09851,popularity
37,42040454.781352684,43422252.0,0.10084299999999999,popularity
38,42040454.781352684,43422252.0,0.101708,popularity
39,42039407.11932369,43422252.0,0.10647999999999999,popularity
40,42039175.05314998,43422252.0,0.106609,popularity
41,42039175.05314998,43422252.0,0.106644,popularity
42,42029210.50385507,43422252.0,0.118978,popularity
43,42028829.03841523,43422252.0,0.123276,popularity
44,42028701.8034769,43422252.0,0.128281,popularity
45,42027114.456610605,43422252.0,0.14583,popularity
46,42027114.456610605,43422252.0,0.146336,popularity
47,42025307.33271045,43422252.0,0.148966,popularity
48,42025307.33271045,43422252.0,0.150661,popularity
49,42025208.3824689,43422252.0,0.151112,popularity
50,42025208.3824689,43422252.0,0.151532,popularity
51,42025174.77155102,43422252.0,0.153135,popularity
52,42025358.29053702,43422252.0,0.15738,popularity
53,42025763.98184136,43422252.0,0.160422,popularity
54,42026887.37894817,43422252.0,0.179017,popularity
55,42026887.37894817,43422252.0,0.179068,popularity
56,42026887.37894817,43422252.0,0.18238,popularity
57,42026250.876239635,43422252.0,0.184114,popularity
58,42026250.876239635,43422252.0,0.184337,popularity
59,42023950.16540422,43422252.0,0.194933,popularity
60,42023950.16540422,43422252.0,0.19555699999999998,popularity
61,42023950.16540422,43422252.0,0.198165,popularity
62,42023807.16717556,43567004.0,0.209643,popularity
63,42041971.05697606,43567004.0,0.215013,popularity
64,42040078.317667216,43567004.0,0.21747600000000003,popularity
65,42040266.56743943,43567004.0,0.218838,popularity
66,42025187.377811104,43538536.0,0.22815700000000003,popularity
67,42035152.3509512,43538536.0,0.228228,popularity
68,42033018.8797655,43538536.0,0.231904,popularity
69,42032778.55657667,43538536.0,0.23931799999999998,popularity
70,42032814.47369156,43538536.0,0.251674,popularity
71,42032814.47369156,43538536.0,0.25362,popularity
72,42033772.65065838,43538536.0,0.272995,popularity
73,42033010.268326655,43538536.0,0.27855100000000005,popularity
74,42033010.212964326,43538536.0,0.280893,popularity
75,42243368.33026404,43538536.0,0.288557,popularity
76,42547463.64569975,43538536.0,0.2994,popularity
77,42547463.64569975,43538536.0,0.29962,popularity
78,42213835.26818862,43538536.0,0.30335,popularity
79,42213835.26818862,43538536.0,0.305672,popularity
80,42082743.47053503,43538536.0,0.310181,popularity
81,41996255.49989266,43538536.0,0.31301,popularity
82,41996255.49989266,43538536.0,0.313827,popularity
83,41888482.0824904,43538536.0,0.329373,popularity
84,41782265.568857744,43483610.0,0.33261999999999997,popularity
85,41782339.810146,43483610.0,0.333017,popularity
86,41782339.810146,43483610.0,0.334111,popularity
