,pred_rev,predictor,x_value
0,66459800.0,XGboostRegressor,0
1,64861632.0,XGboostRegressor,1
2,65224496.0,XGboostRegressor,2
3,65259956.0,XGboostRegressor,3
4,67810840.0,XGboostRegressor,4
5,70651512.0,XGboostRegressor,5
6,74086424.0,XGboostRegressor,6
7,74069504.0,XGboostRegressor,7
8,76102304.0,XGboostRegressor,8
9,73951944.0,XGboostRegressor,9
10,51003628.554137066,RandomForestRegressor,0
11,50046489.755191244,RandomForestRegressor,1
12,50009594.156433456,RandomForestRegressor,2
13,50090200.224340536,RandomForestRegressor,3
14,50307367.25302187,RandomForestRegressor,4
15,50489718.28861651,RandomForestRegressor,5
16,53041874.741928,RandomForestRegressor,6
17,53239646.59699439,RandomForestRegressor,7
18,53462622.59086645,RandomForestRegressor,8
19,53446737.01356004,RandomForestRegressor,9
