,index,budget,genres,id,original_language,popularity,production_countries,runtime,spoken_languages,video,vote_average,vote_count,duration,director,production_company,actors,year,month,day,x,revenue
0,212,0.0,1.0,14353.0,1.0,5.256959999999999,1.0,98.0,1.0,1.0,6.7,103.0,98.0,0.0,1.0,0,2008.0,7.0,18.0,0,7292593.503350332
1,602,14000000.0,20.0,88036.0,1.0,2.2438599999999997,1.0,116.0,6.0,1.0,5.8,36.0,98.0,0.0,1.0,0,2012.0,8.0,17.0,0,9490240.889527718
2,377,0.0,7.0,54309.0,7.0,4.34552,10.0,0.0,9.0,1.0,5.0,137.0,102.0,0.0,1.0,0,2007.0,2.0,14.0,0,29506851.518050507
3,207,0.0,20.0,48561.0,7.0,0.329373,10.0,109.0,9.0,1.0,6.6,7.0,109.0,1.0,1.0,0,1982.0,10.0,7.0,0,3462752.9824335477
4,238,0.0,5.0,96600.0,1.0,5.3623769999999995,1.0,98.0,1.0,1.0,5.1,7.0,98.0,1.0,1.0,0,2012.0,6.0,22.0,0,3407786.972711889
5,774,20000000.0,10.0,11458.0,1.0,5.7578949999999995,1.0,100.0,1.0,1.0,5.5,48.0,100.0,1.0,1.0,0,2002.0,11.0,21.0,0,8834447.03553519
6,839,6000000.0,10.0,264644.0,1.0,12.443291,20.0,117.0,1.0,1.0,8.1,2838.0,75.0,0.0,1.0,0,2015.0,10.0,16.0,0,151758975.54
7,827,0.0,4.0,62327.0,1.0,0.809129,1.0,102.0,1.0,1.0,5.3,6.0,106.0,1.0,1.0,0,1987.0,9.0,1.0,0,3159633.9628936173
8,1229,5000000.0,1.0,44629.0,1.0,9.649312,9.0,113.0,1.0,1.0,6.7,240.0,113.0,0.0,1.0,0,2010.0,6.0,3.0,0,13939311.779896418
9,892,11180.0,10.0,98203.0,1.0,0.6609689999999999,5.0,120.0,2.0,1.0,5.9,11.0,120.0,0.0,1.0,0,2012.0,9.0,5.0,0,2001947.843972918
10,842,19000000.0,1.0,328387.0,1.0,14.9837,1.0,96.0,1.0,1.0,7.1,2262.0,96.0,0.0,1.0,0,2016.0,7.0,27.0,0,277450033.26666665
11,960,16000000.0,8.0,13972.0,1.0,6.62363,1.0,114.0,1.0,1.0,4.6,96.0,114.0,0.0,1.0,0,2008.0,9.0,12.0,0,20227147.563829802
12,896,0.0,2.0,4580.0,2.0,0.690072,6.0,90.0,5.0,1.0,7.7,10.0,89.0,0.0,1.0,0,1976.0,3.0,10.0,0,4238576.571059714
13,894,135000000.0,1.0,228161.0,1.0,13.422713,1.0,94.0,1.0,1.0,6.8,1539.0,91.0,0.0,1.0,0,2015.0,3.0,18.0,0,368556426.6933333
14,1074,0.0,1.0,51927.0,1.0,0.489997,3.0,140.0,3.0,1.0,6.7,13.0,102.0,0.0,1.0,0,2002.0,9.0,9.0,0,2142381.3165313913
15,870,0.0,2.0,35650.0,2.0,1.343844,8.0,87.0,2.0,1.0,6.3,18.0,87.0,1.0,1.0,0,2000.0,9.0,8.0,0,3173987.3752843835
16,1007,0.0,1.0,33345.0,1.0,6.421995,1.0,98.0,6.0,1.0,5.7,12.0,100.0,0.0,4.0,0,1986.0,7.0,2.0,0,11489819.566381387
17,1088,0.0,5.0,11235.0,1.0,10.636074,2.0,111.0,1.0,1.0,7.0,81.0,111.0,0.0,1.0,0,1983.0,2.0,17.0,0,12467332.401758498
18,408,10000000.0,1.0,127521.0,1.0,7.293335000000001,1.0,115.0,2.0,1.0,5.5,91.0,115.0,0.0,1.0,0,2012.0,9.0,11.0,0,24961650.49580327
19,1122,10000000.0,4.0,41823.0,1.0,2.715137,1.0,129.0,1.0,1.0,6.3,48.0,129.0,1.0,2.0,0,1990.0,8.0,3.0,0,17935020.887819383
20,257,0.0,1.0,28805.0,3.0,0.742058,4.0,173.0,4.0,1.0,5.5,10.0,173.0,0.0,1.0,0,2005.0,1.0,1.0,0,2902716.179481833
21,543,10000000.0,8.0,16555.0,1.0,6.063809,1.0,100.0,1.0,1.0,6.6,19.0,100.0,0.0,1.0,0,2007.0,2.0,14.0,0,7907344.11721241
22,218,0.0,1.0,42017.0,1.0,1.377893,2.0,108.0,1.0,1.0,5.9,14.0,108.0,1.0,1.0,0,1986.0,1.0,1.0,0,5186811.008006572
23,323,15000000.0,1.0,68.0,1.0,9.837287,2.0,132.0,1.0,1.0,7.6,877.0,91.0,0.0,1.0,0,1985.0,2.0,20.0,0,150449885.97
24,697,25000000.0,1.0,2291.0,1.0,8.176863,1.0,113.0,1.0,1.0,7.3,376.0,89.0,0.0,1.0,0,1990.0,11.0,2.0,0,54021621.66555555
25,670,0.0,8.0,15363.0,1.0,8.642141,1.0,99.0,7.0,1.0,6.2,49.0,99.0,0.0,1.0,0,2006.0,1.0,29.0,0,11871511.567710986
26,623,0.0,7.0,103751.0,10.0,0.5556979999999999,3.0,0.0,3.0,1.0,7.3,3.0,138.0,0.0,1.0,0,2010.0,9.0,24.0,0,2963989.2355877627
27,661,6500000.0,2.0,1640.0,1.0,9.785147,1.0,112.0,2.0,1.0,7.2,1172.0,100.0,1.0,1.0,0,2004.0,1.0,13.0,0,159962878.24333334
28,645,20000000.0,1.0,526.0,1.0,8.157587,1.0,121.0,1.0,1.0,6.8,264.0,121.0,1.0,6.0,0,1985.0,3.0,27.0,0,55531101.774444446
29,81,0.0,4.0,393765.0,1.0,5.279713,1.0,97.0,1.0,1.0,6.2,31.0,97.0,0.0,,0,2016.0,10.0,14.0,0,5819414.498624502
30,1161,3500000.0,23.0,50839.0,1.0,8.340757,1.0,107.0,1.0,1.0,6.7,531.0,107.0,1.0,1.0,0,2011.0,9.0,28.0,0,29874428.230076935
31,391,26000000.0,31.0,316002.0,1.0,5.213733,1.0,100.0,1.0,1.0,3.9,95.0,100.0,1.0,1.0,0,2015.0,2.0,10.0,0,27501079.07611111
32,640,50000000.0,1.0,18501.0,1.0,9.730681,1.0,95.0,1.0,1.0,5.6,778.0,95.0,1.0,1.0,0,2009.0,9.0,3.0,0,96686300.38535714
33,407,5000000.0,20.0,11326.0,1.0,6.335814,2.0,111.0,1.0,1.0,6.5,69.0,111.0,1.0,1.0,0,1975.0,3.0,19.0,0,30957728.74719701
34,447,0.0,28.0,284303.0,5.0,5.399896,5.0,100.0,10.0,1.0,6.6,344.0,99.0,0.0,1.0,0,2014.0,8.0,29.0,0,29553858.96326812
35,1126,175000000.0,1.0,297761.0,1.0,42.965027,1.0,123.0,1.0,1.0,5.9,7717.0,123.0,1.0,1.0,0,2016.0,8.0,2.0,0,772912717.66
36,249,2000000.0,1.0,39256.0,9.0,2.894009,15.0,87.0,2.0,1.0,6.7,34.0,82.0,0.0,1.0,0,1984.0,12.0,15.0,0,7198501.087834991
37,17,0.0,21.0,35327.0,1.0,1.385902,12.0,101.0,17.0,1.0,5.2,13.0,80.0,0.0,1.0,0,1988.0,2.0,25.0,0,7469599.107601643
38,654,0.0,2.0,91186.0,4.0,2.711041,5.0,118.0,2.0,1.0,6.9,45.0,118.0,0.0,1.0,0,2011.0,9.0,4.0,0,4512313.926415375
39,98,0.0,3.0,445840.0,6.0,0.313827,11.0,,8.0,1.0,6.0,1.0,85.0,0.0,1.0,0,2017.0,6.0,23.0,0,1905804.4375317919
40,317,4000000.0,14.0,20714.0,12.0,6.975759,16.0,159.0,2.0,1.0,6.6,54.0,159.0,0.0,1.0,0,2007.0,6.0,6.0,0,22383018.79398599
41,5,0.0,1.0,18633.0,1.0,10.627974,1.0,96.0,1.0,1.0,5.5,22.0,102.0,0.0,1.0,0,2007.0,2.0,10.0,0,6715601.470790562
42,468,0.0,2.0,21371.0,1.0,1.714522,1.0,91.0,2.0,1.0,6.6,22.0,91.0,0.0,1.0,0,2008.0,8.0,9.0,0,4068148.9389153155
43,507,0.0,1.0,127372.0,1.0,6.159679,1.0,105.0,2.0,1.0,6.1,99.0,99.0,0.0,1.0,0,2012.0,9.0,14.0,0,9552605.513111694
